# index, label, value, _pos
0,agreeable,0,"array([-11.50561707,   3.62372457])"
1,man,1,"array([-11.55571158,   3.57454258])"
2,old,0,"array([-11.58622589,   3.58576086])"
3,person,1,"array([-11.54431097,   3.58741174])"
4,anything,1,"array([-11.69602639,   3.39729494])"
5,short,0,"array([-11.68062235,   3.47790008])"
6,arm,1,"array([-11.7117431,   3.5066277])"
7,round,0,"array([-11.6525351 ,   3.48163509])"
8,aunt,1,"array([-11.45612903,   3.48905328])"
9,first,0,"array([-11.5592846 ,   3.53911982])"
10,bad,0,"array([-11.55711213,   3.64310241])"
11,air,1,"array([-11.59397795,   3.66244835])"
12,boy,1,"array([-11.58030523,   3.56712548])"
13,beautiful,0,"array([-11.54704256,   3.47131362])"
14,black,0,"array([-11.5471784,   3.5043448])"
15,face,1,"array([-11.64037202,   3.49546365])"
16,letter,1,"array([-11.50874856,   3.44247741])"
17,little,0,"array([-11.60637203,   3.53111008])"
18,young,0,"array([-11.59551509,   3.51844818])"
19,best,0,"array([-11.61790546,   3.60066117])"
20,course,1,"array([-11.68869168,   3.62867943])"
21,friend,1,"array([-11.65241286,   3.55685774])"
22,love,1,"array([-11.622464 ,   3.6491499])"
23,part,1,"array([-11.5635589 ,   3.59640795])"
24,room,1,"array([-11.58324931,   3.53187378])"
25,thing,1,"array([-11.57915433,   3.54802945])"
26,time,1,"array([-11.64084263,   3.57636756])"
27,way,1,"array([-11.66325173,   3.54160832])"
28,better,0,"array([-11.65911368,   3.50298916])"
29,heart,1,"array([-11.67125659,   3.43269729])"
30,mind,1,"array([-11.68714728,   3.49843973])"
31,place,1,"array([-11.64474477,   3.5418668 ])"
32,right,0,"array([-11.69024041,   3.52117536])"
33,state,1,"array([-11.71191265,   3.53249953])"
34,woman,1,"array([-11.6727705 ,   3.56247702])"
35,word,1,"array([-11.59924812,   3.45466116])"
36,door,1,"array([-11.64827563,   3.52041139])"
37,eye,1,"array([-11.58006152,   3.45633919])"
38,bright,0,"array([-11.6187489 ,   3.53789568])"
39,evening,1,"array([-11.6213199 ,   3.48792897])"
40,morning,1,"array([-11.59563799,   3.6363767 ])"
41,certain,0,"array([-11.59497165,   3.60424494])"
42,day,1,"array([-11.64874103,   3.61445747])"
43,other,0,"array([-11.63740389,   3.55822417])"
44,child,1,"array([-11.60211081,   3.58119011])"
45,happy,0,"array([-11.57583991,   3.62037347])"
46,common,0,"array([-11.53477821,   3.61684247])"
47,dark,0,"array([-11.52403856,   3.50504542])"
48,kind,0,"array([-11.60615276,   3.49859203])"
49,night,1,"array([-11.52933838,   3.48190326])"
50,dear,0,"array([-11.61761947,   3.57237987])"
51,good,0,"array([-11.61449813,   3.51551872])"
52,home,1,"array([-11.67645828,   3.5833769 ])"
53,mother,1,"array([-11.56687419,   3.49779267])"
54,pretty,0,"array([-11.63201615,   3.52774297])"
55,open,0,"array([-11.73369987,   3.49489879])"
56,early,0,"array([-11.67349116,   3.65171197])"
57,fire,1,"array([-11.59991078,   3.41390044])"
58,full,0,"array([-11.6250541 ,   3.37540351])"
59,great,0,"array([-11.57074238,   3.51970962])"
60,master,1,"array([-11.55290316,   3.44424539])"
61,moment,1,"array([-11.49585654,   3.5514543 ])"
62,work,1,"array([-11.45998047,   3.51859421])"
63,general,0,"array([-11.65018288,   3.65573054])"
64,fancy,0,"array([-11.65970539,   3.7442715 ])"
65,voice,1,"array([-11.63669911,   3.59347992])"
66,head,1,"array([-11.5520013 ,   3.52207386])"
67,hope,1,"array([-11.56659383,   3.47580992])"
68,long,0,"array([-11.58743384,   3.50379206])"
69,greater,0,"array([-11.56267757,   3.69863682])"
70,hand,1,"array([-11.62974368,   3.50916859])"
71,hard,0,"array([-11.5055982 ,   3.47384707])"
72,red,0,"array([-11.58457773,   3.48768549])"
73,life,1,"array([-11.53456641,   3.53211739])"
74,glad,0,"array([-11.70142429,   3.34783429])"
75,large,0,"array([-11.59161239,   3.47193672])"
76,new,0,"array([-11.63303586,   3.47166753])"
77,white,0,"array([-11.50821508,   3.51725001])"
78,late,0,"array([-11.71223002,   3.58606818])"
79,whole,0,"array([-11.70944517,   3.55655272])"
80,light,0,"array([-11.67010832,   3.51984951])"
81,manner,1,"array([-11.69183229,   3.60325929])"
82,bed,1,"array([-11.53799109,   3.41917235])"
83,house,1,"array([-11.66297685,   3.59720884])"
84,low,0,"array([-11.68301065,   3.54431623])"
85,money,1,"array([-11.49101946,   3.57640768])"
86,ready,0,"array([-11.63240422,   3.43451324])"
87,small,0,"array([-11.62265021,   3.55157894])"
88,strange,0,"array([-11.61292909,   3.46939387])"
89,thought,1,"array([-11.64650038,   3.45430629])"
90,lost,0,"array([-11.68815213,   3.70678668])"
91,alone,0,"array([-11.45678685,   3.61407069])"
92,nothing,1,"array([-11.7113096 ,   3.43466992])"
93,miserable,0,"array([-11.51586247,   3.58915006])"
94,natural,0,"array([-11.70599125,   3.6710866 ])"
95,half,1,"array([-11.77303682,   3.37996226])"
96,wrong,0,"array([-11.74329684,   3.46194858])"
97,name,1,"array([-11.50386796,   3.6630562 ])"
98,pleasant,0,"array([-11.63708306,   3.62963868])"
99,possible,0,"array([-11.71219544,   3.46931405])"
100,side,1,"array([-11.74975578,   3.5461862 ])"
101,perfect,0,"array([-11.57042306,   3.40328025])"
102,poor,0,"array([-11.54424848,   3.55069522])"
103,quiet,0,"array([-11.59672963,   3.54395649])"
104,same,0,"array([-11.60461224,   3.55967726])"
105,strong,0,"array([-11.56148216,   3.5587274 ])"
106,something,1,"array([-11.68026173,   3.45465468])"
107,true,0,"array([-11.75860279,   3.58300359])"
108,usual,0,"array([-11.61537868,   3.6193486 ])"
109,family,1,"array([-11.7986122 ,   3.59698935])"
110,world,1,"array([-11.79724163,   3.54778318])"
111,year,1,"array([-11.5330082,   3.6817079])"
