# index, label, _pos
402,"CRUCITTI, P","array([53.99554942, 50.17506581])"
403,"FRASCA, M","array([57.24810345, 53.81023377])"
404,"STAGNI, C","array([56.94415752, 51.10099101])"
405,"USAI, L","array([56.53384556, 52.53305565])"
406,"COULUMB, S","array([-12.75557324, -17.40452492])"
407,"CRANE, D","array([110.96753011,  -2.25722932])"
408,"CRIADO, R","array([33.68577795, 97.88266553])"
409,"FLORES, J","array([35.49411302, 96.75687973])"
410,"HERNANDEZBERMEJO, B","array([33.13395684, 96.43621754])"
411,"PELLO, J","array([34.96092215, 94.92976353])"
412,"ROMANCE, M","array([32.7842582 , 94.98909414])"
413,"GARCIADELAMO, A","array([31.09061233, 97.11556278])"
414,"CRICK, F","array([-53.2355298, -28.7568217])"
415,"KOCH, C","array([-53.98389761, -25.6538841 ])"
416,"MARCHIORI, M","array([50.08886119, 53.6500564 ])"
417,"PORTA, S","array([53.65550088, 52.87972066])"
418,"CSANYI, G","array([  0.26377725, -36.27775724])"
419,"SZENDROI, B","array([  1.7135519 , -34.48942801])"
420,"CSERMELY, P","array([ -0.76552643, -29.33619457])"
421,"CSETE, M","array([120.94827291,   3.85469643])"
422,"CUNHA, C","array([84.88337874,  3.77890245])"
423,"BESTAVROS, A","array([85.14667847,  6.08306465])"
424,"CROVELLA, M","array([87.02175842,  4.69631038])"
425,"CVETKOVIC, D","array([ 52.40513661, -75.5486139 ])"
426,"DOOB, M","array([ 54.70486183, -76.06153282])"
427,"SACHS, H","array([ 53.95433357, -73.80179151])"
428,"DAFONTOURACOSTA, L","array([36.18953236, 67.10788428])"
429,"DIAMBRA, L","array([34.46420105, 70.02679008])"
430,"DALEY, D","array([ 67.9703802 , -60.45679219])"
431,"GANI, J","array([ 70.42402516, -60.17624594])"
432,"KENDALL, D","array([ 65.62031373, -61.19791622])"
433,"DALL, J","array([ 83.51603835, -16.51159846])"
434,"CHRISTENSEN, M","array([ 85.79100849, -16.83439364])"
435,"DAVIDSEN, J","array([-64.84511657, -25.59210442])"
436,"DAVIS, A","array([69.42226478, 23.2198474 ])"
437,"GARDNER, B","array([71.22220286, 21.68528963])"
438,"GARDNER, M","array([69.0461517 , 20.86548707])"
439,"DAVIS, G","array([-29.40498699,  39.828541  ])"
440,"GREVE, H","array([-31.07928705,  37.87217444])"
441,"YOO, M","array([-27.40169689,  41.21228348])"
442,"DEARCANGELIS, L","array([ 5.24436793, 46.61651696])"
443,"HERRMANN, H","array([ 8.78109413, 47.24679298])"
444,"DECASTRO, R","array([ 16.04200888, -74.89435275])"
445,"GROSSMAN, J","array([ 14.69160662, -72.7878762 ])"
446,"DEFFUANT, G","array([122.00887645,  24.4289231 ])"
447,"NEAU, D","array([122.52427273,  21.51683123])"
448,"AMBLARD, F","array([123.71023724,  23.24648407])"
449,"WEISBUCH, G","array([120.84323953,  22.71419337])"
450,"DEFRAYSSEIX, H","array([12.79363047, 54.97426694])"
451,"DEGROOT, M","array([78.95926868, -4.68075888])"
452,"DELIMAESILVA, D","array([106.89824766,  57.3080992 ])"
453,"MEDEIROSSOARES, M","array([108.63642294,  55.26195977])"
454,"HENRIQUES, M","array([105.60628313,  56.6093872 ])"
455,"SCHIVANIALVES, M","array([107.72081225,  54.0568422 ])"
456,"DEAGUILAR, S","array([106.26313153,  54.02894398])"
457,"DECARVALHO, T","array([106.93762472,  55.63190447])"
458,"CORSO, G","array([105.27631865,  55.1777874 ])"
459,"LUCENA, L","array([108.26268623,  56.67897924])"
460,"DELUCIA, M","array([23.37727742, 17.35871382])"
461,"BOTTACCIO, M","array([22.20112841, 18.76066694])"
462,"MONTUORI, M","array([24.5673942 , 18.77069481])"
463,"PIETRONERO, L","array([23.02215353, 22.00369083])"
464,"DEMENEZES, M","array([48.86916037, 26.17310525])"
465,"MOUKARZEL, C","array([51.14869511, 22.60108571])"
466,"PENNA, T","array([49.19337036, 22.06480753])"
467,"DEMERS, A","array([-15.10240462,  -9.45112036])"
468,"GREENE, D","array([-12.61279934,  -7.95225895])"
469,"HAUSER, C","array([-14.42770317,  -7.81083666])"
470,"IRISH, W","array([-12.16780324,  -9.66799829])"
471,"LARSON, J","array([-13.71234991, -10.60746233])"
472,"DEMOURA, A","array([-10.76466544,  18.18076824])"
473,"MOTTER, A","array([-9.33274345, 16.08566903])"
474,"GREBOGI, C","array([-8.80629099, 19.23858651])"
475,"DERRIDA, B","array([100.03800293, -27.22124401])"
476,"FLYVBJERG, H","array([101.53167857, -29.38332722])"
477,"GARDNER, E","array([ 99.87853032, -24.76710406])"
478,"ZIPPELIUS, A","array([ 97.77116499, -26.02283197])"
479,"DESHAZER, D","array([-40.52473319,  32.22295364])"
480,"BREBAN, R","array([-41.56790251,  30.15702156])"
481,"OTT, E","array([-42.99911483,  32.12260383])"
482,"ROY, R","array([-38.92110916,  30.07305781])"
483,"DESTEXHE, A","array([-77.3656487 ,   5.43592627])"
484,"MARDER, E","array([-79.57816216,   6.45729851])"
485,"DEZSO, Z","array([44.33866376, 29.44291339])"
486,"DIEKMANN, O","array([77.14278944, 49.02787251])"
487,"HEESTERBEEK, J","array([77.00815691, 46.65626711])"
488,"DOBRIN, R","array([45.30084242, 31.86191643])"
489,"BEG, Q","array([46.8818491 , 31.75148521])"
490,"DODDS, P","array([28.74359602, 62.54749711])"
491,"MUHAMAD, R","array([26.66826207, 64.59097906])"
492,"ROTHMAN, D","array([30.35644173, 66.41287991])"
493,"SABEL, C","array([28.71158674, 64.55159977])"
494,"DODEL, S","array([-49.15008004,  19.3786913 ])"
495,"HERRMANN, J","array([-47.54594964,  20.82746112])"
496,"GEISEL, T","array([-46.57007318,  18.11927648])"
497,"DONATH, W","array([ 46.58527637, 122.78526204])"
498,"HOFFMAN, A","array([ 44.39389365, 123.83006568])"
499,"DONETTI, L","array([31.80091946, 25.11480472])"
500,"DOROGOVTSEV, S","array([16.09173184, 30.32111576])"
501,"GOLTSEV, A","array([16.03219275, 27.16355078])"
502,"MENDES, J","array([17.87446837, 27.46615864])"
503,"SAMUKHIN, A","array([18.64606971, 29.40716519])"
504,"DOYE, J","array([82.42367544, -0.93281458])"
505,"DU, D","array([ 57.94892257, -27.6605921 ])"
506,"GU, J","array([ 55.80325497, -26.63315173])"
507,"DUNNE, J","array([48.4245455 , 28.51542121])"
508,"WILLIAMS, R","array([46.67817299, 28.04449513])"
509,"MARTINEZ, N","array([46.64966519, 29.61109587])"
510,"DURRETT, R","array([63.80233782,  0.44046024])"
511,"EAMES, K","array([-10.84357429, -62.53349857])"
512,"KEELING, M","array([-11.70359712, -60.32018684])"
513,"MIELSCH, L","array([-61.58268742, -23.14557614])"
514,"ECHENIQUE, P","array([ 6.76904309, 27.90618666])"
515,"GOMEZGARDENES, J","array([ 5.12748907, 27.47951713])"
516,"MORENO, Y","array([ 7.40553393, 25.76340798])"
517,"VAZQUEZ, A","array([ 8.35153262, 30.40086028])"
518,"ECKMANN, J","array([-58.22367862,   5.82855612])"
519,"MOSES, E","array([-59.69312572,   4.05897086])"
520,"EGGHE, L","array([ -8.32323361, -27.09901158])"
521,"ROUSSEAU, R","array([ -6.47986242, -28.57389384])"
522,"EGUILUZ, V","array([  9.17131584, -20.35907713])"
523,"CHIALVO, D","array([ 13.81106687, -22.94860456])"
524,"CECCHI, G","array([ 11.94436732, -19.2964337 ])"
525,"BALIKI, M","array([ 12.18044623, -20.95578368])"
526,"APKARIAN, A","array([ 10.813744  , -22.00863468])"
527,"KLEMM, K","array([  8.70448277, -16.92122965])"
528,"EIGEN, M","array([87.37202154, 63.40287136])"
529,"SCHUSTER, P","array([85.28314851, 62.38022214])"
530,"EISENBERG, D","array([ 77.96254531, -38.5839719 ])"
531,"MARCOTTE, E","array([ 78.61498016, -36.20833099])"
532,"XENARIOS, I","array([ 79.08129652, -37.65529822])"
533,"YEATES, T","array([ 76.29897648, -36.81492828])"
534,"EISENBERG, E","array([-50.34654302,  99.10671838])"
535,"LEVANON, E","array([-52.64195969,  98.57688503])"
536,"ELDAR, A","array([-53.47770521,  63.09771992])"
537,"ENGEL, A","array([87.0421623 , 52.02734054])"
538,"FRIES, P","array([84.28774407, 50.9257497 ])"
539,"SINGER, W","array([84.88907047, 53.1628356 ])"
540,"MOLL, C","array([87.76790815, 49.5953529 ])"
541,"FRIED, I","array([89.68008443, 49.76413339])"
542,"OJEMANN, G","array([89.57789311, 51.67964543])"
543,"ENNIS, J","array([ 77.40606603, -15.88583287])"
544,"ERDOS, P","array([ -6.20319585, -35.86250728])"
545,"RENYI, A","array([ -5.02038799, -33.91123545])"
546,"ERGUN, G","array([60.44608722, 45.51890482])"
547,"RODGERS, G","array([56.54672331, 43.8569056 ])"
548,"ERIKSEN, K","array([36.69998176, 54.70990543])"
549,"SIMONSEN, I","array([38.211655  , 55.80973025])"
550,"MASLOV, S","array([38.48825677, 53.83360888])"
551,"EVERITT, B","array([-37.40158237,  20.09050188])"
552,"FABRIKANT, A","array([-37.61112499,  47.72660808])"
553,"KOUTSOUPIAS, E","array([-39.14964555,  49.46701407])"
554,"PAPADIMITRIOU, C","array([-39.92058594,  47.29744236])"
555,"FALCONER, K","array([-25.0320494 ,   7.13653877])"
556,"FALOUTSOS, M","array([-13.86689018, 116.8653968 ])"
557,"FALOUTSOS, P","array([-13.3509706 , 119.22742793])"
558,"FALOUTSOS, C","array([-15.66905184, 118.48977822])"
559,"FARARO, T","array([ 80.89490659, -27.35364069])"
560,"SUNSHINE, M","array([ 82.50226073, -28.99057207])"
561,"FARKAS, I","array([43.47247981, 35.26198625])"
562,"DERENYI, I","array([42.20639168, 34.78184795])"
563,"FAUST, K","array([-20.18089459, -41.95719358])"
564,"WILLERT, K","array([-18.55641625, -40.34491237])"
565,"ROWLEE, D","array([-18.33473177, -43.22861728])"
566,"SKVORETZ, J","array([-17.02251577, -41.67907665])"
567,"FELL, D","array([-36.64650742,  97.99242574])"
568,"FELLEMAN, D","array([ 47.33938519, -32.12359474])"
569,"VANESSEN, D","array([ 45.04894497, -32.66934261])"
570,"FEMAT, R","array([ -5.47283782, -42.34383124])"
571,"SOLISPERALES, G","array([ -3.29658044, -41.41459088])"
572,"FERGUSON, N","array([-52.92215658,  31.46143156])"
573,"GARNETT, G","array([-55.21839738,  31.32462233])"
574,"FERRERICANCHO, R","array([20.31015306, 48.17228698])"
575,"JANSSEN, C","array([22.40131725, 48.08169879])"
576,"KOHLER, R","array([21.10153218, 46.07823279])"
577,"FIDUCCIA, C","array([-58.16420018,  -2.70199733])"
578,"MATTHEYSES, R","array([-57.10204605,  -4.86047368])"
579,"FIEDLER, M","array([-36.5100648 ,   2.47128578])"
580,"FILATRELLA, G","array([75.05766379, 56.41143721])"
581,"STRAUGHN, B","array([73.61894548, 54.5897057 ])"
582,"BARBARA, P","array([72.74696609, 56.79106759])"
583,"FINGELKURTS, A","array([-4.51880761, 74.48754397])"
584,"KAHKONEN, S","array([-4.56831832, 76.8054476 ])"
585,"FINK, K","array([11.30140701,  9.47903745])"
586,"JOHNSON, G","array([10.45052253, 11.282721  ])"
587,"CARROLL, T","array([9.34146902, 9.27332009])"
588,"FITZHUGH, R","array([-45.66357799,  41.76951634])"
589,"FLAKE, G","array([14.11350102, 69.03138742])"
590,"LAWRENCE, S","array([16.36148795, 68.19072984])"
591,"GILES, C","array([12.47018915, 69.30964424])"
592,"COETZEE, F","array([12.99900205, 67.12179201])"
593,"FONTES, L","array([-42.76081077,  74.95407007])"
594,"SCHONMANN, R","array([-44.25399544,  73.08041233])"
595,"SPATA, A","array([59.97282391, 55.3504104 ])"
596,"FORTUNATO, S","array([45.34516471, 57.3376827 ])"
597,"FOSTER, I","array([34.6830073 , 86.74452998])"
598,"KESSELMAN, C","array([32.03867061, 86.65491328])"
599,"FOX, J","array([-37.43126104,  41.21478237])"
600,"HILL, C","array([-39.79260416,  41.59321688])"
601,"FRANK, L","array([80.03763178, 86.66343286])"
602,"FRANK, O","array([39.34407186,  4.85853817])"
603,"STRAUSS, D","array([38.4757859 ,  2.70486067])"
604,"FREEMAN, L","array([ 6.12963566, 99.26052915])"
605,"FRENCH, J","array([ 21.59136522, 114.14710767])"
606,"FRITH, C","array([66.25528369, 10.03997524])"
607,"LIDDLE, P","array([64.45999766,  9.10320564])"
608,"FRACKOWIAK, R","array([63.45357304, 10.85623719])"
609,"FRONCZAK, A","array([38.858659  , 73.48608185])"
610,"FRONCZAK, P","array([40.8434582 , 73.77785437])"
611,"JEDYNAK, M","array([36.66315531, 73.19177056])"
612,"SIENKIEWICZ, J","array([37.66323268, 74.88555701])"
613,"FU, C","array([-40.87464363,  87.91033709])"
614,"FUJISAKA, H","array([94.31100637,  1.56127878])"
615,"YAMADA, T","array([96.45690076,  2.58172128])"
616,"GADE, P","array([44.59136097,  7.2925012 ])"
617,"HU, C","array([46.80932481,  7.9557849 ])"
618,"GAFIYCHUK, V","array([ 37.60345548, -56.63794282])"
619,"LUBASHEVSKY, I","array([ 37.75707845, -54.24239074])"
620,"STOSYK, A","array([ 35.6221405 , -55.31490335])"
621,"GALASKIEWICZ, J","array([65.2821391 , -5.55956811])"
622,"MARSDEN, P","array([65.84039197, -7.83156268])"
623,"GALSTYAN, A","array([ 40.44305033, -41.59857254])"
624,"LERMAN, K","array([ 40.33011617, -43.91649686])"
625,"GAMMAITONI, L","array([ 11.59781273, -81.09596039])"
626,"HANGGI, P","array([ 11.80707752, -84.04643792])"
627,"JUNG, P","array([ 10.18675504, -82.65866493])"
628,"MARCHESONI, F","array([ 13.17883417, -82.46389723])"
629,"GAO, Z","array([101.65538749,  71.42522103])"
630,"HU, B","array([100.54437031,  73.13642776])"
631,"HU, G","array([103.65256945,  74.47827138])"
632,"GAREY, M","array([-18.13855119, -19.40687703])"
633,"JOHNSON, D","array([-17.26729054, -21.52921175])"
634,"GARFIELD, E","array([101.37182232, -15.77214291])"
635,"GARFINKEL, I","array([ 12.01550358, -53.86796307])"
636,"GLEI, D","array([ 13.6491681 , -52.16200497])"
637,"MCLANAHAN, S","array([ 14.27024712, -54.45704893])"
638,"GARLASCHELLI, D","array([23.94226488, 24.98225417])"
639,"CASTRI, M","array([23.28745035, 27.08246226])"
640,"LOFFREDO, M","array([25.73105201, 21.85794856])"
641,"GASTNER, M","array([26.99957579, 58.56130445])"
642,"GAUTHIER, D","array([ 70.81763214, -18.92571755])"
643,"BIENFANG, J","array([ 71.68021992, -21.22353134])"
644,"GERSCHGORIN, S","array([-13.86102044,  40.14261871])"
645,"GIOT, L","array([-80.48207237,  22.08552778])"
646,"GIRVAN, M","array([32.30340045, 57.37659897])"
647,"GLANZ, J","array([ 58.94213461, -64.14553648])"
648,"PEREZPENA, R","array([ 56.93444666, -62.8399954 ])"
649,"GLASS, L","array([ 66.24171317, -51.98616737])"
650,"GLEISS, P","array([-35.57635551,  95.34790649])"
651,"STADLER, P","array([-34.82735791,  97.19536717])"
652,"GOH, K","array([45.3954824 , 41.48655423])"
653,"GHIM, C","array([44.61835598, 44.90672209])"
654,"KAHNG, B","array([46.52361131, 42.70883183])"
655,"KIM, D","array([44.92598107, 42.84589268])"
656,"LEE, D","array([46.93739693, 44.54891471])"
657,"OH, E","array([43.05921696, 43.02188425])"
658,"GOLDBERG, D","array([-0.60386369, 95.60966154])"
659,"NICHOLS, D","array([ 1.19774108, 93.35333866])"
660,"OKI, B","array([-0.84362306, 93.58044754])"
661,"TERRY, D","array([ 1.40580206, 95.37272966])"
662,"GOLDBETER, A","array([20.79188081, 93.13232462])"
663,"GONZE, D","array([20.01174137, 91.0901115 ])"
664,"HOUART, G","array([22.54223213, 91.79974616])"
665,"LELOUP, J","array([22.67822291, 90.15951152])"
666,"DUPONT, G","array([20.94650761, 89.65282008])"
667,"GOLDWASSER, L","array([70.28912153,  4.59075316])"
668,"ROUGHGARDEN, J","array([68.1851616 ,  3.56011783])"
669,"GOLOMB, D","array([ 28.66091476, -59.24771208])"
670,"HANSEL, D","array([ 26.10568199, -59.70823743])"
671,"RINZEL, J","array([ 31.10893596, -58.9515629 ])"
672,"GOLUB, G","array([ 75.51443585, -10.02444245])"
673,"VANLOAN, C","array([ 73.38685189, -10.9918157 ])"
674,"FLORIA, L","array([ 3.90291811, 25.27807799])"
675,"GONZALES, M","array([ 5.03361086, 49.01694105])"
676,"SOUSA, A","array([ 3.26012038, 50.58146128])"
677,"HALLY, J","array([17.85631858, 92.20278677])"
678,"GOODHILL, A","array([-57.63893676,  12.84361339])"
679,"SIMMEN, M","array([-56.11442723,  14.60423567])"
680,"WILLSHAW, D","array([-55.3659433 ,  12.38771987])"
681,"GOODMAN, M","array([ 67.37774046, 109.22581232])"
682,"HALL, D","array([ 65.29269791, 107.09439284])"
683,"AVERY, L","array([ 65.27717199, 109.19010961])"
684,"LOCKERY, S","array([ 67.38654737, 107.09823599])"
685,"GORMAN, S","array([59.63242448, 31.87368697])"
686,"TANGMUNARUNKIT, H","array([-62.56000703,  50.1661583 ])"
687,"GRANOVETTER, M","array([ -7.80855703, -14.26470072])"
688,"GRASSBERGER, P","array([-20.89982719,  92.20013777])"
689,"GRAY, C","array([85.49806862, 55.10204605])"
690,"KONIG, P","array([87.41251151, 54.52897243])"
691,"GREENHALGH, D","array([47.57022842, -2.42610852])"
692,"GREGOIRE, G","array([-6.97015181, -0.43336852])"
693,"GROSS, J","array([-13.59910222,   7.52232773])"
694,"KUJALA, J","array([-12.76857077,   5.78641137])"
695,"HAMALAINEN, M","array([-14.35380385,   4.98740787])"
696,"TIMMERMANN, L","array([-11.96712239,   7.24260747])"
697,"SCHNITZLER, A","array([-9.66681064,  8.05030938])"
698,"SALMELIN, R","array([-11.38554924,   5.07181199])"
699,"ION, P","array([ 13.79684263, -70.56272519])"
700,"GUARDIOLA, X","array([ 4.54182263, 41.48764876])"
701,"LLAS, M","array([ 4.57934492, 39.51108613])"
702,"PEREZ, C","array([ 2.87971181, 40.27418755])"
703,"GUARE, J","array([22.66574271,  4.26571685])"
704,"GUELZIM, N","array([ 24.47383324, -69.17200388])"
705,"BOTTANI, S","array([ 23.48726244, -71.01643245])"
706,"BOURGINE, P","array([ 22.62284214, -68.23282948])"
707,"KEPES, F","array([ 21.65709671, -70.04065622])"
708,"GIRALT, F","array([ 9.43489563, 40.92360676])"
709,"MOSSA, S","array([15.78408788, 39.3276575 ])"
710,"TURTSCHI, A","array([14.24107028, 39.79741171])"
711,"GUPTA, S","array([-27.18606514,  18.10796962])"
712,"HALL, G","array([ 68.98682937, -17.25561866])"
713,"BAHAR, S","array([ 71.25200725, -16.48886128])"
714,"HALL, K","array([-63.78713036,  60.90230885])"
715,"HARI, R","array([-16.16248688,   3.71789648])"
716,"ILMONIEMI, R","array([-15.88328213,   1.9041968 ])"
717,"KNUUTILA, J","array([-17.77689701,   2.57233632])"
718,"LOUNASMAA, O","array([-17.75818854,   4.58027823])"
719,"HANDCOCK, M","array([-53.31071856,  39.57750256])"
720,"JONES, J","array([-51.1342072 ,  38.30821616])"
721,"SOMPOLINSKY, H","array([ 23.45893063, -60.23398299])"
722,"HARARY, F","array([ 14.9874875 , -46.05138493])"
723,"HARWELL, L","array([ 90.15515891, -35.04091566])"
724,"HOPFIELD, J","array([ 91.80458653, -33.86515169])"
725,"LEIBLER, S","array([ 88.95731733, -33.36838101])"
726,"MURRAY, A","array([ 90.62731869, -32.19048119])"
727,"HAYES, B","array([ 88.64807967, -58.14786243])"
728,"HAYNIE, D","array([-41.49587431, -42.65481911])"
729,"HEAGY, J","array([7.5092222 , 7.92119843])"
730,"HEGSELMANN, R","array([ 16.34290352, 105.93499534])"
731,"KRAUSE, U","array([ 16.31171751, 103.59787037])"
732,"HE, M","array([-34.06678189,  -3.54948205])"
733,"XU, H","array([-33.15530997,  -5.74656693])"
734,"SUN, Q","array([-35.54330938,  -5.44717421])"
735,"HERRERO, C","array([ 39.09572157, -31.17845392])"
736,"HERRMANN, C","array([19.19033775, 36.39999773])"
737,"PROVERO, P","array([20.69766183, 35.39519   ])"
738,"HONG, D","array([12.05661784, 45.34352966])"
739,"ROUX, S","array([ 6.71909918, 50.73034433])"
740,"HETHCOTE, H","array([ 80.22966949, -66.82391627])"
741,"HIGHAM, D","array([123.99081802,  -2.2230269 ])"
742,"HILGETAG, C","array([ 15.94533826, -27.67385427])"
743,"ONEILL, M","array([ 16.82295449, -31.34431232])"
744,"SCANNELL, J","array([ 15.4642318 , -33.02871787])"
745,"GRANT, A","array([ 13.3182355 , -25.85572952])"
746,"KAISER, M","array([ 18.06605141, -25.76723099])"
747,"HILLIER, B","array([-10.46241768, -80.46668904])"
748,"HANSON, J","array([-11.40283809, -78.23686908])"
749,"HIRSCH, J","array([-62.43809825,  43.03274208])"
750,"HODGKIN, A","array([84.02211278, 11.91661166])"
751,"HUXLEY, A","array([86.16566599, 12.90798072])"
752,"HOFF, P","array([-55.77135086,  39.75269883])"
753,"RAFTERY, A","array([-54.54236488,  41.7390475 ])"
754,"HOLLAND, P","array([-31.52838838,  70.00915945])"
755,"LEINHARDT, S","array([-29.35537417,  71.02287728])"
756,"HOLME, P","array([32.2399861 , 45.89723261])"
757,"EDLING, C","array([23.53552926, 44.22593536])"
758,"LILJEROS, F","array([23.87362234, 42.91989721])"
759,"GHOSHAL, G","array([28.61727682, 51.7383368 ])"
760,"HUSS, M","array([35.83504272, 40.69998173])"
761,"KIM, B","array([37.04561857, 44.54934529])"
762,"YOON, C","array([37.42642694, 42.44982383])"
763,"HAN, S","array([36.00752654, 42.39068341])"
764,"TRUSINA, A","array([34.09428131, 48.09717509])"
765,"MINNHAGEN, P","array([35.50534015, 48.36110551])"
766,"HOLMGREN, C","array([-76.46001243,  61.77285162])"
767,"HARKANY, T","array([-74.5310322,  61.144646 ])"
768,"SVENNENFORS, B","array([-77.11240784,  59.80611122])"
769,"ZILBERTER, Y","array([-75.14265288,  59.17515165])"
770,"HOLTER, N","array([ 0.80751979, 33.50643281])"
771,"MITRA, M","array([-0.57682049, 34.33110248])"
772,"CIEPLAK, M","array([ 0.07088021, 32.16116832])"
773,"FEDROFF, N","array([-1.81261994, 33.38866012])"
774,"HONG, H","array([40.80693526, 44.73257906])"
775,"CHOI, M","array([36.42538717, 46.3905678 ])"
776,"PARK, H","array([38.93001482, 46.65103952])"
777,"HORN, N","array([-50.76906884, -55.02411448])"
778,"RUPPIN, E","array([-52.77895906, -56.37687692])"
779,"HORWITZ, B","array([  2.34897222, 102.63642024])"
780,"HUFNAGEL, L","array([-43.73585479,  17.52695913])"
781,"BROCKMANN, D","array([-44.16814075,  19.66352943])"
782,"HUGENII, C","array([92.40921826, -4.22643229])"
783,"YANG, J","array([103.52807094,  77.87095465])"
784,"LIU, W","array([101.60349177,  77.37605443])"
785,"HUXHAM, M","array([ 74.0734972 , -29.19158036])"
786,"BEANEY, S","array([ 72.31215291, -27.65957734])"
787,"RAFFAELLI, D","array([ 74.50193516, -26.89629127])"
788,"LOPEZRUIZ, R","array([ 5.08189102, 20.50724874])"
789,"IAMNITCHI, A","array([36.91151972, 88.00330238])"
790,"RIPEANU, M","array([37.02161056, 85.66497547])"
791,"ICHINOMIYA, T","array([ 34.1362376 , -27.86148545])"
792,"IGOSHIN, O","array([20.98189561, 96.75413085])"
793,"KAISER, D","array([22.27814446, 95.35799982])"
794,"OSTER, G","array([19.5716995 , 95.47624692])"
795,"IHMELS, J","array([81.16308191, 70.76718364])"
796,"FRIEDLANDER, G","array([81.33281692, 73.98702825])"
797,"BERGMANN, S","array([80.52761577, 72.44894914])"
798,"OFERSARIG, Y","array([82.42898502, 72.2666156 ])"
799,"ITO, T","array([ 65.13379751, -35.09420729])"
800,"CHIBA, T","array([ 65.59019592, -33.50326014])"
